date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:44	28416/28416	---MCZ	200	added ('OK')	text/html	etag:%226f00-5db05ceca21bf-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html	(from )
19:38:45	242/242	---M--	302	error ('Found')	text/html	date:Thu,%2005%20May%202022%2014:09:07%20GMT	https://ds1-iiith.vlabs.ac.in/robots.txt		(from )
19:38:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2005%20May%202022%2014:09:08%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/PROJEHCT/www.googletagmanager.com/gtm.15445.delayed	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:45	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5db05ceca027f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/images/favicon.ico	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/images/favicon.ico	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:45	159515/159515	---MCZ	200	added ('OK')	text/css	etag:%2226f1b-5db05cec9f2df-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/css/bootstrap.min.css	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:47	14209/14209	---M-Z	200	added ('OK')	text/css	etag:%225eb03e6d-3781%22	https://cdnjs.cloudflare.com/ajax/libs/github-markdown-css/4.0.0/github-markdown.min.css	C:/My%20Web%20Sites/PROJEHCT/cdnjs.cloudflare.com/ajax/libs/github-markdown-css/4.0.0/github-markdown.min.css	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:47	31004/31004	---MCZ	200	added ('OK')	text/css	etag:%22791c-5db05cec9f2df-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:47	11617/11617	---MCZ	200	added ('OK')	text/css	etag:%222d61-5db05cec9f2df-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/css/github-markdown.min.css	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/css/github-markdown.min.css	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:47	7279/7279	---MCZ	200	added ('OK')	text/css	etag:%221c6f-5db05cec9f2df-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/css/vlabs-style.css	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/css/vlabs-style.css	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:47	71037/71037	---MCZ	200	added ('OK')	application/javascript	etag:%221157d-5db05ceca027f-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/js/jquery-3.4.1.slim.min.js	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/js/jquery-3.4.1.slim.min.js	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
